id,key,value,type
103869696,b'highway',b'traffic_signals',b'regular'
,,,
103869698,b'highway',b'traffic_signals',b'regular'
,,,
103869700,b'highway',b'traffic_signals',b'regular'
,,,
103869909,b'highway',b'turning_circle',b'regular'
,,,
103869949,b'highway',b'traffic_signals',b'regular'
,,,
103869983,b'railway',b'level_crossing',b'regular'
,,,
103870104,b'highway',b'traffic_signals',b'regular'
,,,
103870232,b'highway',b'traffic_signals',b'regular'
,,,
103870241,b'highway',b'traffic_signals',b'regular'
,,,
103870332,b'noexit',b'yes',b'regular'
,,,
103870373,b'highway',b'traffic_signals',b'regular'
,,,
103870377,b'highway',b'traffic_signals',b'regular'
,,,
103870382,b'highway',b'traffic_signals',b'regular'
,,,
103870384,b'highway',b'traffic_signals',b'regular'
,,,
103870392,b'highway',b'traffic_signals',b'regular'
,,,
103871294,b'name',b'Secaucus Junction',b'regular'
,,,
103871294,b'railway',b'station',b'regular'
,,,
103871294,b'usage',b'main',b'regular'
,,,
103871294,b'wheelchair',b'yes',b'regular'
,,,
103872499,b'highway',b'traffic_signals',b'regular'
,,,
103872546,b'highway',b'traffic_signals',b'regular'
,,,
103872757,b'highway',b'traffic_signals',b'regular'
,,,
103872796,b'highway',b'traffic_signals',b'regular'
,,,
103872820,b'highway',b'traffic_signals',b'regular'
,,,
103872823,b'highway',b'traffic_signals',b'regular'
,,,
103872966,b'highway',b'traffic_signals',b'regular'
,,,
103872966,b'traffic_signals',b'signal',b'regular'
,,,
103872967,b'highway',b'crossing',b'regular'
,,,
103872978,b'highway',b'crossing',b'regular'
,,,
103873011,b'highway',b'traffic_signals',b'regular'
,,,
103873049,b'highway',b'traffic_signals',b'regular'
,,,
103873051,b'highway',b'traffic_signals',b'regular'
,,,
103873061,b'crossing',b'zebra',b'regular'
,,,
103873061,b'highway',b'crossing',b'regular'
,,,
103873067,b'crossing',b'zebra',b'regular'
,,,
103873067,b'highway',b'crossing',b'regular'
,,,
103873309,b'highway',b'traffic_signals',b'regular'
